District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
Northeast Metro 916,WELS North,Ramsey,Public,32,4096,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,Aris Woodwinds,Washington,Public,16,7872,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,NE Metro North,Ramsey,Public,4,4096,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,NE Metro Tartan,Washington,Public,1,2048,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,Metro Heights Academy,Anoka,Public,223,7168,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,917 Transitional Education Serv Alt,Dakota,Public,120,4096,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,917 Intra-Dakota Educational Alt,Dakota,Public,57,8190,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,Deaf/Hard of Hearing,Dakota,Public,29,7101,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,917 Paces,Dakota,Public,39,8190,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,Dakota Cty. ALC,Dakota,Public,269,6144,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,West Heights Extended Day,Dakota,Public,9,5120,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,West Heights ALC,Dakota,Public,98,7168,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,New Chance,Dakota,Public,3,7168,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,Riverside School,Dakota,Public,15,7936,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,Options,Dakota,Public,22,7936,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,917 Sun,Dakota,Public,144,8190,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,917 Dash,Dakota,Public,21,8113,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,TEA,Dakota,Public,57,8191,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,Dakota County Area Learning School - South,Dakota,Public,16,1792,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 917,Customized Alternative Solutions for Education (CASE),Dakota,Public,12,5332,0,0,0,0,0,0,0,0,0,0,0
Region 4-Lakes Country Service Coop,Lakes Country Youth Educ Svcs,Clay,Public,48,7168,0,0,0,0,0,0,0,0,0,0,0
Region 4-Lakes Country Service Coop,Lakes Country Academy - FF,Otter Tail,Public,14,6080,0,0,0,0,0,0,0,0,0,0,0
Region 4-Lakes Country Service Coop,Lakes Country Academy - ALEX,Douglas,Public,11,60,0,0,0,0,0,0,0,0,0,0,0
Fergus Falls Area Special Education Cooperative,Fergus Falls Early Childhood Sp Ed,Otter Tail,Public,57,1,0,0,0,0,0,0,0,0,0,0,0
Fergus Falls Area Special Education Cooperative,Fergus Falls EC/Elementary Sp Ed,Otter Tail,Public,4,26,0,0,0,0,0,0,0,0,0,0,0
Fergus Falls Area Special Education Cooperative,Fergus Falls Elementary Sp Ed 5-8,Otter Tail,Public,4,416,0,0,0,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,Meeker-Wright Early Childhood Sp Ed,Wright,Public,65,1,0,0,0,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,Trek Program,Wright,Public,6,4296,0,0,0,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,CORNERSTONES PROGRAM,Wright,Public,15,7680,0,0,0,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,Step TD Program,Wright,Public,21,4096,0,0,0,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,WINGS ALTERNATIVE PROGRAM,Meeker,Public,13,7680,0,0,0,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,VILLAGE RANCH ALTERNATIVE PROGRAM,Wright,Public,35,8064,0,0,0,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,Journeys Alternative Program,Wright,Public,9,60,0,0,0,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,Eastern Wright Program,Wright,Public,6,480,0,0,0,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,Westside Alternative Program,Wright,Public,7,7680,0,0,0,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,Sholund School for Girls,Wright,Public,12,7552,0,0,0,0,0,0,0,0,0,0,0
Wright Technical Center,Wright Technical Center ALC,Wright,Public,77,7680,0,0,0,0,0,0,0,0,0,0,0
Wright Technical Center,Wright Technical Center ALC Middle,Wright,Public,4,256,0,0,0,0,0,0,0,0,0,0,0
Region 6 and 8-SW/WC Service Cooperative,SWWC ELC - Windom,Cottonwood,Public,40,8190,0,0,0,0,10,10,10,10,10,10,10
Region 6 and 8-SW/WC Service Cooperative,SWWC Alternative Learning Center - Windom,Cottonwood,Public,22,6144,0,0,0,0,0,0,0,0,0,0,0
Region 6 and 8-SW/WC Service Cooperative,SWWC ELC - Belview,Redwood,Public,32,8172,0,0,0,0,0,0,0,0,0,0,0
Region 6 and 8-SW/WC Service Cooperative,SWWC ELC - Cosmos,Meeker,Public,39,8174,0,0,0,0,0,0,0,0,0,0,0
Region 6 and 8-SW/WC Service Cooperative,SWWC ELC - Pipestone,Pipestone,Public,18,4084,0,0,0,0,5,5,5,5,5,5,5
Region 6 and 8-SW/WC Service Cooperative,Pipestone Learning Center,Pipestone,Public,12,7680,0,0,0,0,0,0,0,0,0,0,0
Region 6 and 8-SW/WC Service Cooperative,Project Search-Avera Marshall,Lyon,Public,6,4096,0,0,0,0,0,0,0,0,0,0,0
Region 6 and 8-SW/WC Service Cooperative,SWWC ELC - Willmar,Kandiyohi,Public,28,7656,0,0,0,0,0,0,0,0,0,0,0
Region 6 and 8-SW/WC Service Cooperative,SWWC ELC - Montevideo,Chippewa,Public,27,7679,5,5,5,5,5,5,5,5,5,5,5
Bemidji Regional Interdist. Council,Bemidji Regional Interdist. Council,Beltrami,Public,22,1,0,0,0,0,0,0,0,0,0,0,0
Perpich Center For Arts Education,Perpich Center For Arts Education,Hennepin,Public,143,6144,0,5,5,5,5,5,5,5,5,5,5
Minnesota Department of Corrections,MN Correctional Facility-Lino Lakes,Anoka,Public,4,5120,0,0,0,0,0,0,0,0,0,0,0
Minnesota Department of Corrections,MCF - Oak Park Heights,Washington,Public,2,5120,0,0,0,0,0,0,0,0,0,0,0
Minnesota Department of Corrections,MN Correctional Facility-Rush City,Chisago,Public,1,4096,0,0,0,0,0,0,0,0,0,0,0
Minnesota Department of Corrections,MN Correctional Facility-Stillwater,Washington,Public,9,7168,0,0,0,0,0,0,0,0,0,0,0
Minnesota Department of Corrections,MCF-Moose Lake/Willow River,Carlton,Public,3,7168,0,0,0,0,0,0,0,0,0,0,0
Minnesota Department of Corrections,MN Correctional Facility-St. Cloud,Sherburne,Public,6,3584,0,0,0,0,0,0,0,0,0,0,0
Minnesota Department of Corrections,MCF-Red Wing Maginnis High School,Goodhue,Public,55,7168,0,0,0,0,0,0,0,0,0,0,0
Lake Crystal-Wellcome Memorial,Lake Crystal-Wellcome Memorial Elementary,Blue Earth,Public,422,63,0,0,0,0,5,15,20,20,20,20,20
Lake Crystal-Wellcome Memorial,LK CRYSTAL-WELLCOME MEMORIAL SECONDARY,Blue Earth,Public,476,8128,0,0,0,0,0,0,0,0,0,0,0
Lake Crystal-Wellcome Memorial,LCWM ECSE,Blue Earth,Public,16,1,0,0,0,0,0,0,0,0,0,0,0
Lake Crystal-Wellcome Memorial,Phoenix Recovery Programs,Blue Earth,Public,4,7168,0,0,0,0,0,0,0,0,0,0,0
Triton School District,Triton Middle School,Dodge,Public,239,448,0,0,0,5,5,5,5,5,5,5,5
Triton School District,Triton Elementary,Dodge,Public,440,63,0,0,0,0,10,10,10,10,10,20,20
Triton School District,Triton High School,Dodge,Public,327,7680,0,0,0,0,0,0,0,0,0,0,0
United South Central School Dist.,United South Central Elementary,Faribault,Public,428,127,0,0,0,0,0,5,10,10,10,15,15
United South Central School Dist.,United South Central High School,Faribault,Public,332,8064,0,0,5,5,5,5,10,10,10,20,20
Maple River School District,Maple River Secondary,Blue Earth,Public,533,8160,0,0,0,0,0,0,0,0,0,0,0
Maple River School District,Maple River East Elementary,Faribault,Public,159,31,0,0,0,0,0,0,0,0,0,0,0
Maple River School District,Maple River West Elementary,Blue Earth,Public,158,31,0,0,0,0,0,0,0,0,0,0,0
Kingsland Public School District,Kingsland Elementary School,Fillmore,Public,268,127,0,5,10,15,15,20,25,25,25,25,25
Kingsland Public School District,Kingsland Junior/Senior High School,Fillmore,Public,265,8064,0,0,10,10,10,10,10,10,10,10,10
St. Louis County School District,Babbitt Elementary,Saint Louis,Public,92,127,0,0,0,0,0,0,0,0,0,0,0
St. Louis County School District,Tower-Soudan Elementary,Saint Louis,Public,95,127,0,0,0,0,0,0,0,0,0,0,0
St. Louis County School District,Northeast Range Secondary,Saint Louis,Public,133,8064,0,0,0,0,0,0,5,5,5,5,5
St. Louis County School District,South Ridge Elementary,Saint Louis,Public,308,127,0,0,0,0,0,5,5,5,5,10,10
St. Louis County School District,South Ridge Secondary,Saint Louis,Public,270,8064,0,0,0,0,0,5,10,10,10,10,10
St. Louis County School District,North Woods Elementary,Saint Louis,Public,223,127,0,0,5,10,10,10,10,10,10,10,10
St. Louis County School District,North Woods Secondary,Saint Louis,Public,297,8064,5,15,15,15,15,15,15,15,15,20,20
St. Louis County School District,Cherry Secondary,Saint Louis,Public,252,8064,0,20,25,25,25,25,25,25,25,25,25
St. Louis County School District,Cherry Elementary,Saint Louis,Public,286,127,5,35,40,40,40,40,40,40,40,40,40
Waterville-Elysian-Morristown Public School District,Morristown Elementary,Rice,Public,118,96,0,0,0,0,0,0,0,0,0,0,0
Waterville-Elysian-Morristown Public School District,Waterville-Elysian-Morristown Jr.,Rice,Public,141,384,0,0,0,0,0,0,0,0,0,0,0
Waterville-Elysian-Morristown Public School District,Waterville Elementary,Lesueur,Public,266,31,0,5,5,5,5,5,5,5,5,5,5
Waterville-Elysian-Morristown Public School District,Waterville-Elysian-Morristown Sr.,Lesueur,Public,235,7680,0,5,10,10,10,10,10,10,10,10,10
Chisago Lakes School District,Chisago Lakes El.,Chisago,Public,386,3,0,0,5,5,10,10,10,10,10,15,15
Chisago Lakes School District,Lakeside El.,Chisago,Public,712,60,0,0,5,10,20,25,30,30,30,30,30
Chisago Lakes School District,Chisago Lakes Middle,Chisago,Public,816,448,5,15,15,15,25,25,25,25,25,25,25
Chisago Lakes School District,Chisago Lakes Senior High,Chisago,Public,1075,7680,5,5,10,15,20,25,30,30,30,30,30
Chisago Lakes School District,Taylors Falls Elementary,Chisago,Public,315,63,10,20,20,20,20,20,20,20,20,20,20
Chisago Lakes School District,Chisago Lakes Family Center,Chisago,Public,37,1,0,0,0,0,0,0,0,0,0,0,0
Minnewaska School District,Minnewaska Secondary,Pope,Public,375,7680,0,10,20,20,20,20,20,20,20,20,20
Minnewaska School District,Minnewaska Area Junior High,Pope,Public,234,384,0,0,0,0,0,0,0,0,0,0,0
Minnewaska School District,Minnewaska Area Intermediate School,Pope,Public,298,112,0,5,15,15,20,20,20,20,20,25,25
Minnewaska School District,Minnewaska Area Elementary,Pope,Public,356,15,0,0,0,0,5,10,15,15,15,25,25
Minnewaska School District,Minnewaska Area WIN Academy,Pope,Public,45,8190,0,0,0,0,0,0,0,0,0,0,0
Minnewaska School District,Minnewaska Early Childhood Sp.Ed.,Pope,Public,40,1,0,0,0,0,0,0,0,0,0,0,0
Wadena-Deer Creek School District,Wadena-Deer Creek Senior High,Wadena,Public,446,8064,0,5,25,30,35,35,35,35,35,45,45
Wadena-Deer Creek School District,Wadena-Deer Creek Elementary,Wadena,Public,434,31,0,5,15,15,25,25,25,25,25,30,30
Wadena-Deer Creek School District,Wadena-Deer Creek 5th And 6th Grade,Wadena,Public,153,96,0,0,0,0,0,0,0,0,0,0,0
Buffalo Lake-Hector-Stewart Public Schools,Buffalo Lake-Hector Elementary,Renville,Public,202,63,0,0,0,5,5,5,5,5,5,5,5
Buffalo Lake-Hector-Stewart Public Schools,Buffalo Lake-Hector Secondary,Renville,Public,277,8128,0,0,0,0,0,0,0,0,0,0,0
Dilworth-Glyndon-Felton,Dilworth Elementary,Clay,Public,452,31,0,5,10,15,25,25,25,25,25,35,35
Dilworth-Glyndon-Felton,Glyndon-Felton Elementary,Clay,Public,315,63,0,0,0,0,5,10,10,10,10,15,15
Dilworth-Glyndon-Felton,Dilworth-Glyndon-Felton Middle School,Clay,Public,391,448,0,5,5,5,10,10,10,10,10,15,15
Dilworth-Glyndon-Felton,Dilworth-Glyndon-Felton Senior High,Clay,Public,427,7680,0,0,5,5,5,5,5,5,5,10,10
Hinckley-Finlayson School District,Hinckley Elementary,Pine,Public,462,127,0,0,0,5,5,5,5,5,5,5,5
Hinckley-Finlayson School District,Hinckley-Finlayson Secondary,Pine,Public,409,8064,0,0,5,5,5,5,5,5,5,5,5
Hinckley-Finlayson School District,Finlayson Elementary,Pine,Public,68,127,0,0,0,0,0,0,0,0,0,0,0
Hinckley-Finlayson School District,Empower Learning Center,Pine,Public,25,7680,0,0,0,0,0,0,0,0,0,0,0
Lakeview School District,Lakeview Elementary,Lyon,Public,342,127,0,0,5,10,10,10,10,10,10,10,10
Lakeview School District,Lakeview Secondary,Lyon,Public,275,8064,0,10,10,10,10,10,10,10,10,10,10
NRHEG School District,NRHEG Secondary,Waseca,Public,480,8128,5,15,35,35,35,35,40,45,45,50,50
NRHEG School District,NRHEG Elementary,Steele,Public,362,63,0,0,0,0,0,0,5,5,5,5,5
Murray County Central School Dist.,Murray Co. Central Elementary,Murray,Public,396,127,0,5,10,10,10,10,10,10,15,15,15
Murray County Central School Dist.,Murray County Central Secondary,Murray,Public,328,8064,0,10,15,15,15,20,20,20,20,25,25
Staples-Motley School District,Staples-Motley Elementary,Todd,Public,346,31,0,0,0,0,5,5,5,5,5,10,10
Staples-Motley School District,Staples-Motley Senior High,Todd,Public,330,7680,0,5,5,5,15,15,15,15,15,15,15
Staples-Motley School District,Motley-Staples Middle School,Todd,Public,301,480,0,0,0,0,5,5,5,5,5,5,5
Kittson Central School District,Kittson Central Elementary,Kittson,Public,136,127,0,0,0,0,0,0,5,5,5,5,5
Kittson Central School District,Kittson Central Secondary,Kittson,Public,94,8064,0,5,5,5,5,5,5,5,5,5,5
Kenyon-Wanamingo School District,Kenyon-Wanamingo Elementary,Goodhue,Public,260,31,0,0,0,0,0,0,0,0,0,0,0
Kenyon-Wanamingo School District,Kenyon-Wanamingo Senior High,Goodhue,Public,230,7680,0,0,0,0,0,0,0,0,0,0,0
Kenyon-Wanamingo School District,Kenyon-Wanamingo Middle,Goodhue,Public,236,480,0,0,0,0,0,0,0,0,0,0,0
Pine River-Backus School District,Pine River-Backus Elementary,Cass,Public,469,127,0,10,15,15,15,15,15,15,15,20,20
Pine River-Backus School District,Pine River-Backus High School,Cass,Public,386,8064,0,5,5,5,5,5,5,5,5,5,5
Pine River-Backus School District,Pine River-Backus Area Learning Ctr,Cass,Public,48,7168,0,0,0,0,0,0,0,0,0,0,0
Warren-Alvarado-Oslo School District,Warren Elementary,Marshall,Public,286,63,0,5,10,10,10,10,10,10,10,10,10
Warren-Alvarado-Oslo School District,Warren-Alvarado-Oslo Secondary,Marshall,Public,256,8128,5,15,20,20,20,20,20,20,20,20,20
MACCRAY School District,MACCRAY WEST ELEMENTARY,Chippewa,Public,202,127,0,5,10,10,10,10,10,10,10,10,10
MACCRAY School District,MACCRAY EAST ELEMENTARY,Kandiyohi,Public,202,127,5,5,5,5,5,5,5,5,5,5,5
MACCRAY School District,MACCRAY SENIOR HIGH,Chippewa,Public,325,8064,0,0,5,5,5,5,5,5,5,5,5
Luverne Public School District,Luverne Elementary,Rock,Public,523,63,0,5,5,5,5,10,10,10,10,10,10
Luverne Public School District,Luverne Middle,Rock,Public,268,448,0,0,0,0,0,0,0,0,0,5,5
Luverne Public School District,Luverne Senior High,Rock,Public,365,7680,5,15,15,15,15,15,15,15,15,25,25
Luverne Public School District,LUVERNE ALTERNATIVE PROGRAM,Rock,Public,6,6144,0,0,0,0,0,0,0,0,0,0,0
Luverne Public School District,Pinnacle Programs Southwestern Youth Services,Rock,Public,20,4032,0,0,0,0,0,0,0,0,0,0,0
Yellow Medicine East,Bert Raney Elementary School,Yellow Medicine,Public,280,63,0,0,5,10,10,10,10,10,10,10,10
Yellow Medicine East,Yellow Medicine East High School,Yellow Medicine,Public,218,7680,0,0,5,10,10,10,10,10,10,15,15
Yellow Medicine East,Yellow Medicine East Middle School,Yellow Medicine,Public,158,448,0,0,10,10,10,10,10,10,10,10,10
Fillmore Central,Fillmore Central Elementary,Fillmore,Public,306,127,0,0,5,10,10,10,10,10,10,10,10
Fillmore Central,Fillmore Central Alternative Learning Program,Fillmore,Public,25,7168,0,0,0,0,0,0,0,0,0,0,0
Fillmore Central,Fillmore Central Senior High,Fillmore,Public,252,8064,0,0,10,15,15,15,15,15,15,15,15
Norman County East School District,Norman County East Secondary,Norman,Public,109,8064,0,0,0,0,0,0,0,0,0,0,0
Norman County East School District,Norman County East Elementary,Norman,Public,116,127,0,0,0,0,0,0,0,0,0,0,0
Sibley East School District,Sibley East-Arlington Senior High,Sibley,Public,374,7680,0,5,10,10,10,10,10,10,10,10,10
Sibley East School District,Sibley East-Gaylord Elementary,Sibley,Public,437,63,0,0,5,5,5,10,10,10,10,10,10
Sibley East School District,Sibley East Middle School,Sibley,Public,264,448,0,0,5,5,5,5,5,5,5,5,5
Clearbrook-Gonvick School District,Clearbrook-Gonvick Elementary,Clearwater,Public,210,127,0,5,5,5,5,5,5,5,5,5,5
Clearbrook-Gonvick School District,Clearbrook-Gonvick Secondary,Clearwater,Public,223,8064,0,0,0,0,0,0,0,0,0,5,5
West Central Area,West Central Area N. El.,Grant,Public,184,31,0,0,0,0,0,0,0,0,0,0,0
West Central Area,West Central Area S. El.,Douglas,Public,120,31,0,0,0,0,0,0,0,0,0,0,0
West Central Area,WEST CENTRAL AREA SECONDARY,Grant,Public,242,7680,0,0,0,0,0,0,0,0,0,0,0
West Central Area,WCA Middle School,Grant,Public,227,480,0,0,0,0,0,0,0,0,0,0,0
Tri-County School District,Karlstad Elementary,Kittson,Public,134,127,0,0,0,0,0,0,0,0,0,0,0
Tri-County School District,Tri-County Secondary,Kittson,Public,78,8064,0,0,0,5,15,15,15,15,15,15,15
Belgrade-Brooten-Elrosa Public School District,Belgrade-Brooten-Elrosa Elementary,Stearns,Public,329,127,0,0,0,0,0,0,0,0,0,0,0
Belgrade-Brooten-Elrosa Public School District,Belgrade-Brooten-Elrosa Sec.,Stearns,Public,312,8064,0,0,0,0,0,0,0,0,0,5,5
G.F.W.,GFW Elementary School (PreK-5th Grade),Sibley,Public,285,63,0,0,0,0,0,0,0,0,0,0,0
G.F.W.,GFW Junior/Senior High School (Grades 6-12),Sibley,Public,384,8128,0,5,10,10,10,10,10,10,10,10,10
A.C.G.C. Public School District,A.C.G.C. Elementary,Kandiyohi,Public,328,31,0,0,0,0,0,0,0,0,0,0,0
A.C.G.C. Public School District,ACGC Elementary Grades 5 And 6,Meeker,Public,139,96,0,0,0,0,0,0,0,0,0,0,0
A.C.G.C. Public School District,A.C.G.C. Secondary,Meeker,Public,402,8064,5,10,15,20,30,35,40,40,40,40,40
Le Sueur-Henderson School District,Park Elementary,Lesueur,Public,232,31,0,0,0,0,5,10,10,10,10,10,10
Le Sueur-Henderson School District,Hilltop Elementary,Sibley,Public,126,48,0,0,0,0,0,0,0,0,0,0,0
Le Sueur-Henderson School District,Le Sueur-Henderson High School,Lesueur,Public,328,7680,0,0,0,0,0,10,15,15,15,15,15
Le Sueur-Henderson School District,Le Sueur-Henderson Middle School,Lesueur,Public,240,448,0,0,0,0,0,0,0,0,0,0,0
Martin County West School District,Sherburn Elementary,Martin,Public,144,7,0,0,0,0,0,0,0,0,0,0,0
Martin County West School District,Trimont Elementary,Martin,Public,194,121,0,10,10,10,10,10,10,10,10,10,10
Martin County West School District,Martin County West Senior High,Martin,Public,214,7680,0,5,5,5,5,5,5,5,5,5,5
Martin County West School District,Martin County West Junior High,Martin,Public,115,384,0,0,0,0,0,0,0,0,0,0,0
Norman County West School District,Norman County West Elementary,Norman,Public,69,63,0,0,0,0,0,0,0,0,0,0,0
Bird Island-Olivia-Lake Lillian Public School District,BOLD-Bird Island Elementary,Renville,Public,211,31,0,0,0,0,0,0,0,0,0,0,0
Bird Island-Olivia-Lake Lillian Public School District,BOLD Middle School,Renville,Public,188,480,0,0,0,0,0,0,0,0,0,0,0
Bird Island-Olivia-Lake Lillian Public School District,BOLD Senior High School,Renville,Public,220,7681,0,0,0,0,0,0,0,0,0,0,0
Granada Huntley East Chain,Granada Huntley East Chain Elementary School,Martin,Public,138,63,0,0,0,0,0,0,0,0,0,0,0
Granada Huntley East Chain,Granada Huntley East Chain High School,Martin,Public,84,7680,0,5,5,5,5,5,5,5,5,5,5
Granada Huntley East Chain,Granada Huntley East Chain Middle School,Martin,Public,71,448,0,0,0,0,0,0,0,0,0,0,0
East Central School District,East Central Elementary,Pine,Public,381,127,0,0,0,0,0,0,0,0,0,0,0
East Central School District,East Central Senior Secondary,Pine,Public,316,8064,0,0,0,0,0,0,0,0,0,0,0
East Central School District,Crossroads Area Learning Center,Pine,Public,38,7936,0,0,0,0,0,0,0,0,0,0,0
Win-E-Mac School District,Win-E-Mac Elementary,Polk,Public,244,127,0,5,5,5,5,5,5,5,5,5,5
Win-E-Mac School District,Win-E-Mac Secondary,Polk,Public,189,8064,0,0,0,0,0,0,0,0,0,0,0
